12259
18
368952715
357868588
0 1 1 0 0 1 (D 1,1,1) (D 1,1,1)
0 1 2 0 0 1 (D 1,1,1) (D 1,1,1)
0 1 3 0 0 1 (D 1,1,1) (D 1,1,1)
0 1 4 128 592 5 (D 1,1,1) (S 67,1,116) (S 60,108,109) (S 62,110,111) (D 1,1,1)
0 1 5 98 526 6 (D 1,1,1) (S 104,124,124) (S 72,124,126) (S 73,126,130) (S 78,125,125) (D 1,1,1)
0 1 6 0 0 1 (D 1,1,1) (D 1,1,1)
0 1 7 130 513 8 (D 1,1,1) (S 113,118,118) (S 98,88,88) (S 100,92,92) (S 84,82,82) (S 88,80,80) (S 51,86,87) (D 1,1,1)
0 1 8 129 797 10 (D 1,1,1) (S 36,66,67) (S 115,70,70) (S 97,62,62) (S 32,62,63) (S 52,95,96) (S 53,96,97) (S 54,97,98) (S 83,103,103) (D 1,1,1)
0 1 9 147 868 7 (D 1,1,1) (S 39,69,71) (S 41,72,73) (S 112,78,78) (S 92,134,134) (S 102,135,135) (D 1,1,1)
0 1 10 117 646 7 (D 1,1,1) (S 87,113,113) (S 59,107,108) (S 33,63,64) (S 111,64,64) (S 34,64,65) (D 1,1,1)
0 1 11 138 805 7 (D 1,1,1) (S 95,54,54) (S 74,55,140) (S 77,48,48) (S 86,61,61) (S 37,67,68) (D 1,1,1)
0 1 12 149 751 7 (D 1,1,1) (S 68,116,117) (S 91,42,42) (S 85,37,37) (S 76,36,36) (S 19,36,38) (D 1,1,1)
0 1 13 149 1028 7 (D 1,1,1) (S 79,38,38) (S 17,34,139) (S 99,139,139) (S 90,11,11) (S 81,49,49) (D 1,1,1)
0 1 14 148 1193 9 (D 1,1,1) (S 20,38,39) (S 21,39,40) (S 75,11,27) (S 12,27,28) (S 14,28,30) (S 94,30,30) (S 15,30,32) (D 1,1,1)
0 1 15 144 1125 9 (D 1,1,1) (S 5,11,12) (S 6,12,13) (S 89,13,13) (S 7,13,14) (S 106,16,16) (S 109,15,15) (S 8,20,22) (D 1,1,1)
0 1 16 148 1078 7 (D 1,1,1) (S 101,84,84) (S 108,43,43) (S 23,43,44) (S 107,6,6) (S 103,10,10) (D 1,1,1)
0 1 17 142 1223 9 (D 1,1,1) (S 70,117,119) (S 93,46,46) (S 24,44,45) (S 13,28,29) (S 114,29,29) (S 80,5,5) (S 3,8,9) (D 1,1,1)
0 1 18 150 1114 7 (D 1,1,1) (S 110,76,76) (S 82,20,20) (S 96,25,25) (S 31,55,56) (S 105,114,114) (D 1,1,1)
