851
10
715981101
681705633
0 1 1 71 82 12 (D 1,1,1) (S 47,1,6) (S 81,7,7) (S 75,7,8) (S 75,8,7) (S 78,2,2) (S 34,2,1) (S 47,1,6) (S 46,6,13) (S 2,13,14) (S 87,14,14) (D 1,1,1)
0 1 2 61 75 12 (D 1,1,1) (S 80,6,6) (S 46,6,13) (S 86,13,13) (S 14,13,21) (S 4,21,27) (S 13,27,31) (S 39,31,23) (S 88,15,15) (S 27,9,8) (S 82,8,8) (D 1,1,1)
0 1 3 25 34 7 (D 1,1,1) (S 72,6,12) (S 45,12,11) (S 84,11,11) (S 45,11,12) (S 85,12,12) (D 1,1,1)
0 1 4 74 111 16 (D 1,1,1) (S 10,20,21) (S 67,21,22) (S 92,22,22) (S 31,23,24) (S 31,24,23) (S 39,23,31) (S 61,31,37) (S 64,37,38) (S 28,38,28) (S 28,28,38) (S 48,43,50) (S 112,50,50) (S 73,50,45) (S 107,45,45) (D 1,1,1)
0 1 5 60 97 12 (D 1,1,1) (S 91,20,20) (S 33,19,26) (S 94,26,26) (S 8,26,34) (S 55,34,30) (S 97,30,30) (S 7,27,36) (S 3,35,36) (S 38,36,42) (S 104,42,42) (D 1,1,1)
0 1 6 68 108 12 (D 1,1,1) (S 16,11,19) (S 51,26,30) (S 5,33,40) (S 41,40,47) (S 109,47,47) (S 9,47,48) (S 53,48,41) (S 106,44,44) (S 38,42,36) (S 79,5,5) (D 1,1,1)
0 1 7 58 107 8 (D 1,1,1) (S 89,16,16) (S 58,16,9) (S 83,9,9) (S 1,3,4) (S 90,17,17) (S 93,24,24) (D 1,1,1)
0 1 8 70 121 12 (D 1,1,1) (S 29,18,29) (S 96,29,29) (S 100,33,33) (S 15,40,41) (S 103,41,41) (S 111,49,49) (S 53,41,48) (S 110,48,48) (S 41,40,47) (S 108,46,46) (D 1,1,1)
0 1 9 70 116 12 (D 1,1,1) (S 51,26,30) (S 95,27,27) (S 67,21,22) (S 98,31,31) (S 36,31,32) (S 102,38,38) (S 11,38,43) (S 105,43,43) (S 101,37,37) (S 99,32,32) (D 1,1,1)
0 1 10 0 0 1 (D 1,1,1) (D 1,1,1)
